Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:15.586000, 00:01:15.586000, 00:00:00,75.586,75.586,0.0,20,Mexico City Grand Prix
LEC, 00:01:15.848000, 00:01:15.586000, 00:00:00.262000,75.848,75.586,0.262,20,Mexico City Grand Prix
HAM, 00:01:15.938000, 00:01:15.586000, 00:00:00.352000,75.938,75.586,0.352,20,Mexico City Grand Prix
RUS, 00:01:16.034000, 00:01:15.586000, 00:00:00.448000,76.034,75.586,0.448,20,Mexico City Grand Prix
VER, 00:01:16.070000, 00:01:15.586000, 00:00:00.484000,76.07,75.586,0.484,20,Mexico City Grand Prix
ANT, 00:01:16.118000, 00:01:15.586000, 00:00:00.532000,76.118,75.586,0.532,20,Mexico City Grand Prix
SAI, 00:01:16.172000, 00:01:15.586000, 00:00:00.586000,76.172,75.586,0.586,20,Mexico City Grand Prix
PIA, 00:01:16.174000, 00:01:15.586000, 00:00:00.588000,76.174,75.586,0.588,20,Mexico City Grand Prix
HAD, 00:01:16.252000, 00:01:15.586000, 00:00:00.666000,76.252,75.586,0.666,20,Mexico City Grand Prix
BEA, 00:01:16.460000, 00:01:15.586000, 00:00:00.874000,76.46,75.586,0.874,20,Mexico City Grand Prix
TSU, 00:01:16.816000, 00:01:15.586000, 00:00:01.230000,76.816,75.586,1.23,20,Mexico City Grand Prix
OCO, 00:01:16.837000, 00:01:15.586000, 00:00:01.251000,76.837,75.586,1.251,20,Mexico City Grand Prix
LAW, 00:01:16.961000, 00:01:15.586000, 00:00:01.375000,76.961,75.586,1.375,20,Mexico City Grand Prix
HUL, 00:01:17.016000, 00:01:15.586000, 00:00:01.430000,77.016,75.586,1.43,20,Mexico City Grand Prix
ALO, 00:01:17.103000, 00:01:15.586000, 00:00:01.517000,77.103,75.586,1.517,20,Mexico City Grand Prix
BOR, 00:01:17.412000, 00:01:15.586000, 00:00:01.826000,77.412,75.586,1.826,20,Mexico City Grand Prix
ALB, 00:01:17.490000, 00:01:15.586000, 00:00:01.904000,77.49,75.586,1.904,20,Mexico City Grand Prix
GAS, 00:01:17.546000, 00:01:15.586000, 00:00:01.960000,77.546,75.586,1.96,20,Mexico City Grand Prix
STR, 00:01:17.606000, 00:01:15.586000, 00:00:02.020000,77.606,75.586,2.02,20,Mexico City Grand Prix
COL, 00:01:17.670000, 00:01:15.586000, 00:00:02.084000,77.67,75.586,2.084,20,Mexico City Grand Prix
